source	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
SKP2	0.033250091889959	0.781509942912697	-0.064853296379175	0.005510532187231	0.701861704951539	0.587594217373195	0.060349354209913	0.466425316066077	2	-0.026508010006182	0.091798889756539	0.036681953010406
SLA	0.041043526807258	-0.618013315871898	0.030009757374724	0.037087933704923	-0.176338133428698	-0.47765354626869	-0.016160482847624	-0.347408875678312	0.264790211911657	0.010528204404514	-0.038570246369406	0.029191555670691
SLAMF1	0.013030038291508	2	0.065909453199157	-0.014606153492128	2	0.120762554024089	0.025552777737419	0.458457839339548	2	-0.012894228409099	-0.195628607235586	-0.002475669002765
SLC1A4	-0.061628845579962	-0.522448838288674	0.183087163153138	0.010703931737768	-0.425485720107827	-0.480546965290488	0.269159080375684	-0.52639963585115	0.013186853565444	-0.017385944049583	-0.461319908613475	-0.049537006149872
SLC2A1	0.054416324271194	0.615058550869724	-0.018076199265498	0.014285234621162	0.446831187989619	0.622041899732685	-0.031719644924264	0.438152868118598	0.156591298403788	0.011075863818374	0.201683249062815	0.050461396607217
SLC2A3	-0.05285674597597	-0.995716950284683	0.014678115632191	-0.002475681626808	-0.99547829025914	-0.995591931396766	-0.03297551162207	-0.995483268920248	-0.992036908140429	0.000545739802714	-0.995085009558883	-0.047252390733903
SLC3A2	-0.075926486824333	-0.732789871400981	0.057258715175111	0.013568021163697	-0.655094540168268	0.057380018334159	-0.1651629084181	-0.083884310133644	0.05246653891643	-0.001278852016064	-0.212106552857094	-0.06266126214819
SLC5A2	0.024052510698823	0.219907306826696	-0.140437531411853	0.005378021893671	0.156343542145437	0.017827655153928	-0.177441924897797	0.128388847855891	0.005771476963416	0.010578445367335	0.072430378251664	0.01256879253313
SMTN	0.031204132132952	0.671522323774707	-0.071946199504524	-0.021555951171161	0.341120364624239	0.474382741300398	-0.035242040650476	0.361822739086735	-0.166790379904679	-0.045467944290159	0.368829129743419	0.042467453635295
SLC5A3	0.035890667163731	-0.904383662550673	0.11064060852072	-0.005745524240641	-0.371620281433381	-0.074359649337965	0.099194737983238	-0.997349349118358	0.105630987537847	-0.013582342148525	0.97745922892894	0.027702507218136
SLC6A6	0.049880262254593	-0.252387979222696	0.131450473383226	-0.001263460450653	-0.126804145382896	-0.127471863695617	0.043898409416378	-0.084838697886561	-0.188887716019286	-0.023516053207377	0.132959986053358	0.038143539626202
SLC6A8	0.030142275438122	-0.323429222986183	-0.016178930798161	-0.081490059522813	-0.210797695992427	-0.279982835308786	0.03537230477115	-0.037144408481624	-0.00297143660257	-0.004973548282401	-0.041266260953447	-0.000880102372477
SLC7A1	-0.0345638040821	-0.749679391954446	0.040466049053894	0.013290913243061	-0.418774169295262	-0.995928746354332	-0.00441155271809	-0.995799298100624	2	-0.010606050547931	-0.994247727719199	-0.038567665861804
SLC9A1	-0.02172940505164	0.480551646591544	-0.025560336811634	-0.003120662418957	0.529606575351869	0.483866088682559	-0.098275371484052	0.606549475654651	0.02368134140607	0.010607435960427	0.035916474316699	-0.014090804691199
SLC9A5	0.046876554237401	-0.338766958705116	-0.046617394942772	-0.027218895328953	-0.409724058331287	-0.445460238419074	-0.035888223497857	-0.324082823744458	0.244129630704712	0.013337263845544	0.154654035645754	0.027006848580476
SLC12A2	0.028198773450343	-0.347774957819083	-0.012144125514843	8.4560863124139E-05	-0.298114489387255	-0.365905850139395	-0.100792889237276	-0.304923520721062	0.102207288971957	-0.005364044753782	-0.13499686433901	0.015219282296553
SLC12A4	0.019441627588507	0.680698851424164	0.132104672579999	-0.018542553325646	0.576977205032068	0.285272957667297	0.333039168399171	0.470370582921189	-0.373499072264484	0.015218747993077	-0.016635600452158	0.038990336474689
SLC16A1	0.02235346386307	0.114577636015172	0.040654564501589	0.00567765693868	0.105617982495085	-0.081053200693236	-0.007704039150793	0.138915414895168	-0.072928582173323	-0.006275457895987	0.076229257656537	0.006479930546228
SLC19A1	0.021719663355596	1.11804290950037	-0.01963273646932	-0.01436445440094	2	2	0.039791039165227	1.17508079810443	-0.118020496350064	-0.02714262883602	0.192962290086557	0.013526075808806
SLC20A1	0.020779776752227	-0.56608451927525	0.060540176792633	-0.002378231782411	-0.484098905606356	-0.50539739864855	-0.020498393194495	2	0.188511636544252	-0.004621223404105	-0.241229500211962	0.010360192982326
SLC20A2	0.003876070927707	0.017908471493698	0.027836083728434	0.015315348599058	-0.04133622680167	-0.074466469631706	-0.054329442913113	0.051659663707196	0.096611583293702	-0.003331317661011	0.004011285515072	0.003378739188309
SLC25A1	0.002094164630046	0.333691284974959	-0.034657915946881	0.006653626439406	0.205493191591557	0.260038223415564	-0.009566096192333	2	-0.270094225920578	0.00086516500873	0.20626046014631	0.009743498583051
SLC22A5	0.015491403233881	-0.37168313557755	-0.008554294402883	-0.002166285329296	-0.361048084707236	-0.256358530904786	-0.119114196582769	2	0.030416896692944	0.004991585963585	0.224852828245712	0.000577989339751
